ax,ay,az,gx,gy,gz,mx,my,mz,t
-2408,2800,16568,-3761,-1138,-6602,-40,14,47,75606
-2928,3312,15040,-3091,-3317,-5880,-39,14,45,75640
-1612,2588,14724,-2163,-1092,-4592,-41,14,44,75676
-2876,1160,16356,-704,-1557,-3217,-38,16,46,75711
-2504,2616,15440,-1314,-866,-3656,-39,16,46,75747
-2160,1080,16240,-674,-275,-2354,-38,15,48,75783
-2748,2440,16020,-134,-31,-2577,-38,16,45,75817
-1184,2216,16924,162,-1685,-679,-36,15,46,75853
-2468,2172,16540,-267,-1327,1148,-39,14,47,75888
-2008,2172,15292,362,-3697,1595,-39,13,46,75924
-3376,792,16152,-411,2172,974,-36,14,48,75959
-3848,2100,16664,-13,272,-1492,-38,15,47,75995
-2336,1488,16772,-1001,380,-2671,-38,14,47,76030
-1880,2292,16824,-265,-2969,-2196,-37,15,48,76065
-600,1908,16400,-1927,-2703,-570,-37,14,48,76101
-2032,1232,16672,-3390,1114,-311,-36,12,49,76136
-1244,1144,17024,-4436,-668,-188,-34,12,48,76172
-1324,652,15444,-3933,-4123,997,-32,11,52,76208
-932,-100,15252,-1160,-3447,1390,-34,13,50,76242
-492,592,16388,228,-4775,1604,-34,9,51,76278
188,404,16696,1862,-9085,2686,-32,8,52,76313
-544,372,15848,4265,-13298,3432,-36,3,51,76349
1532,840,18720,3912,-15014,2386,-35,-1,51,76384
2240,564,15040,3271,-15235,3164,-38,-5,50,76420
1864,1148,18936,1393,-15396,1589,-38,-9,51,76455
4304,2152,22188,-630,-17025,1111,-38,-14,49,76490
8776,1012,8720,-821,-21985,7707,-36,-23,47,76526
4964,-1068,11696,2470,-15205,5188,-35,-26,46,76561
5924,1208,16672,1708,-22306,-782,-35,-28,42,76597
12080,2652,12620,-352,-19645,-945,-35,-36,41,76633
10816,964,9180,2238,-19226,730,-33,-38,37,76667
13772,2436,10136,2950,-16090,-426,-35,-40,34,76703
14528,3052,8556,2818,-15803,3733,-35,-45,30,76739
11588,880,8916,1609,-17170,3578,-35,-43,25,76774
12956,740,9732,3334,-26141,1685,-37,-45,21,76810
11432,224,2752,2894,-32768,-451,-36,-48,10,76846
14132,940,4552,1686,-32768,-5521,-39,-49,4,76880
18200,2304,-4468,1266,-27863,-4701,-38,-46,-3,76916
15612,3360,-2024,2448,-21753,-1849,-40,-43,-10,76952
15876,2084,-4304,1951,-25583,11,-38,-45,-16,76987
15380,1812,-8572,5309,-20353,654,-37,-40,-21,77023
14372,1336,-7956,7643,-19889,21,-39,-36,-26,77059
12476,1172,-7128,8555,-25683,-1110,-37,-33,-31,77093
12668,2824,-10036,967,-25562,-1640,-37,-28,-35,77129
11420,2896,-14064,-2613,-23083,1598,-39,-22,-39,77165
7868,960,-11404,-140,-23784,1934,-38,-19,-44,77200
7964,1608,-16648,306,-30716,339,-38,-12,-47,77236
6660,1832,-14892,-2541,-22864,200,-40,-5,-47,77272
4636,2184,-16124,-4268,-23966,1758,-41,-3,-48,77306
3124,1488,-16752,-3094,-20549,2214,-41,3,-49,77342
1252,1208,-15668,-3678,-23175,1423,-44,7,-48,77378
-892,1440,-17648,-1808,-25252,1005,-42,12,-48,77413
-2412,2692,-15844,-1162,-23457,-1319,-44,19,-46,77449
-3000,2612,-16120,-735,-19998,-462,-45,19,-47,77485
-5168,3400,-14488,204,-19475,604,-44,26,-44,77519
-6216,2668,-16412,-1875,-19953,72,-42,28,-40,77555
-8836,3880,-13388,-3439,-17195,447,-46,31,-38,77591
-9832,5164,-14672,-5139,-21611,5093,-44,33,-35,77626
-11764,3104,-14768,-3451,-19418,5754,-50,34,-31,77662
-11312,4456,-9164,-1123,-16371,3361,-48,34,-28,77698
-13180,2044,-14368,-2635,-17261,1642,-50,38,-27,77732
-11600,5932,-9448,1688,-12460,-788,-47,39,-25,77768
-13056,4116,-8560,1929,-7837,1430,-50,39,-24,77804
-13672,4700,-10516,2108,-6598,399,-49,40,-23,77839
-12892,4032,-6236,4168,-9067,2724,-47,38,-24,77875
-13432,1280,-6504,4178,-17885,4784,-51,38,-19,77911
-16852,4800,-5532,3177,-20061,-138,-48,39,-17,77946
-15500,5004,-5932,523,-11648,-6661,-49,44,-18,77981
-14992,2152,-4372,3099,-16777,-3439,-48,44,-14,78017
-16520,3556,-2656,4480,-14668,-5527,-44,47,-13,78053
-14740,3908,-456,2629,-17411,-4755,-46,49,-11,78088
-17100,2860,-208,1695,-20823,-2937,-43,49,-8,78124
-16100,3964,-376,654,-17639,-6097,-43,52,-2,78159
-17328,2416,1764,1221,-21923,-6105,-44,50,1,78194
-15248,1828,1520,3443,-21451,-7013,-43,50,6,78230
-15172,-540,4164,7635,-19178,-6635,-40,49,6,78265
-15532,-28,5852,10389,-24940,-7396,-39,50,13,78301
-13392,1028,8184,12584,-27423,-7506,-39,50,16,78337
-11340,872,9700,13344,-32768,-7938,-39,45,20,78372
-9012,1988,13740,9783,-25225,-5273,-38,43,24,78407
-9196,2580,13800,6313,-18119,-3390,-39,41,29,78443
-8292,1208,15544,4444,-13972,-2555,-38,40,30,78479
-7168,2148,15076,3179,-13003,-3744,-39,39,32,78514
-6028,2516,16184,1497,-11429,-656,-36,35,32,78550
-4652,2104,15676,-3327,-7469,608,-39,34,36,78585
-5552,1280,14904,-1649,-3839,-583,-37,33,36,78620
-4980,1840,15848,-548,-3111,-815,-39,34,35,78656
-3924,1552,15828,-2237,-4092,-977,-38,32,38,78691
-5420,1056,15532,-3262,-5069,-348,-35,31,41,78727
-4572,1460,16512,-2805,-10986,-2260,-36,26,41,78763
-1996,1148,14636,-3248,-7450,-999,-34,25,43,78797
-2704,196,16240,-1199,-6136,-717,-36,25,46,78833
-2052,636,15696,-1130,-5493,-889,-36,23,48,78869
-1832,408,15788,-795,-2599,39,-33,21,47,78904
-2132,788,16756,-695,-4159,269,-33,22,45,78940
-1412,976,16384,-1367,-2711,1110,-33,19,46,78974
-832,188,15848,-1372,-2408,1391,-35,20,48,79010
-1784,144,17388,199,-1767,748,-33,18,48,79045
-688,360,17104,-1182,-5051,991,-34,18,48,79081
816,24,14784,-1067,-777,769,-33,17,49,79116
-1140,596,17832,590,-2000,881,-33,15,49,79152
-324,792,15856,-1019,-2904,1094,-32,15,49,79186
96,600,15800,-1066,-1303,2442,-32,13,49,79222
-744,44,17296,-421,-3680,2835,-33,11,50,79257
380,568,16020,-776,-3395,2270,-32,13,51,79293
560,-44,16660,-137,-859,3442,-32,9,51,79328
544,-232,17464,1478,-1990,2225,-33,11,50,79364
1316,1144,17700,-229,-2739,2584,-33,9,50,79398
2144,-1356,16748,-717,-1920,2306,-32,8,51,79434
1936,-1292,16464,3075,-1132,-178,-33,7,51,79470
2128,532,15896,2070,-573,-6,-35,6,50,79505
1132,-320,15232,1829,-648,633,-33,7,51,79540
660,248,15048,1983,-1010,-9,-33,7,51,79576
1304,1108,14084,191,-936,289,-33,5,48,79610
1456,260,14900,-1141,221,1570,-32,7,51,79646
1232,-300,15796,-174,531,1322,-32,6,50,79681
2088,16,16044,-797,730,1089,-32,5,50,79717
1552,-708,17204,-1478,783,817,-33,5,51,79752
2104,-1068,16584,1027,-11,-167,-32,4,50,79788
2108,760,16472,1413,1180,-687,-35,5,50,79822
1296,448,16736,266,465,-254,-35,5,49,79858
1732,444,15816,562,-1178,-1062,-35,4,50,79893
1696,1356,15484,201,-492,-1138,-33,6,51,79929
1704,1096,15940,-941,-639,-297,-33,6,48,79964
1888,308,16248,-1084,-699,-546,-33,6,49,80000
1460,252,16264,-355,-125,-1004,-32,7,50,80034
1344,244,16940,-180,-290,-941,-32,8,49,80070
1568,128,16392,249,-502,-951,-32,5,51,80105
1528,348,16348,475,-67,-823,-33,5,49,80140
1244,520,16316,623,18,-875,-34,7,49,80176
1644,824,15952,154,-208,-587,-33,5,47,80210
1776,608,16064,-378,459,-366,-33,8,50,80246
1836,100,16544,272,822,79,-34,5,49,80281
1412,36,17144,252,12,-315,-33,7,49,80316
1948,120,16160,278,-410,-785,-32,7,50,80352
1732,92,15828,657,890,-743,-33,6,49,80387
1048,624,16524,672,522,-765,-32,6,49,80422
1168,932,16292,-326,-268,-500,-33,7,50,80457
1392,560,16100,-478,329,-133,-32,5,48,80493
1452,588,16564,206,71,294,-31,6,49,80528
1980,660,16708,14,-22,169,-32,7,47,80563
1880,416,16760,-305,-463,338,-32,6,49,80599
1888,-120,16576,289,-557,186,-34,5,48,80633
1844,156,15816,686,-259,-280,-32,6,50,80669
1940,520,15920,256,-117,171,-32,7,47,80704
1820,404,15764,-226,217,-85,-31,7,50,80739
1928,608,15840,-315,239,-205,-32,6,49,80775
1796,924,16048,-467,570,-176,-33,6,48,80809
1660,484,16084,-306,956,111,-30,7,49,80845
1564,528,16116,-231,850,-91,-32,8,48,80880
1440,520,15976,-583,1121,92,-32,8,49,80916
1244,352,15776,-527,1197,187,-35,7,51,80951
464,1592,19620,-6015,-2482,757,-31,4,48,80987
740,-2760,11220,-1796,-1354,-502,-28,9,49,81021
292,-360,14388,4039,4476,1455,-30,8,50,81057
-152,2660,22260,-276,-1845,1450,-30,6,48,81092
2052,-880,15356,-4080,-4856,540,-30,5,49,81128
3064,-916,14732,2199,2007,1341,-30,6,47,81163
1436,168,17296,2352,3576,1006,-29,7,47,81199
1400,-704,16752,-848,-942,188,-31,8,49,81233
2344,-572,15032,50,203,-425,-32,8,49,81269
1544,200,16388,567,1629,9,-31,8,48,81304
1120,16,17352,-400,25,-168,-31,8,50,81339
1616,-256,16612,-390,-819,-602,-30,5,48,81375
1316,-312,16792,356,-276,-353,-31,8,49,81410
1628,-76,16480,454,-514,-517,-31,6,50,81445
1676,-8,16176,453,-263,-479,-33,7,48,81480
1548,236,16224,643,-174,-422,-31,7,48,81515
1652,280,16008,255,-301,-334,-31,5,46,81551
1656,-16,15932,217,83,-220,-32,7,49,81586
1772,212,15864,-1,137,-275,-31,7,47,81622
1684,72,16184,-265,126,-200,-30,6,47,81656
1768,-40,16420,-266,115,-296,-33,8,47,81691
1596,-40,16348,1,415,-360,-32,7,47,81727
1600,56,16492,75,97,-340,-31,6,46,81762
1560,24,16116,32,169,-465,-31,7,47,81797
1556,72,16156,57,303,-346,-33,6,47,81832
1464,40,16260,-44,382,-385,-32,8,47,81867
1396,168,16336,19,368,-485,-31,8,50,81903
1356,288,16360,-350,87,-307,-30,6,47,81938
1316,172,16456,-89,289,-109,-31,7,49,81973
1420,240,16528,9,-10,-194,-32,8,49,82009
1424,132,16304,-199,-6,-72,-30,8,46,82043
1468,-72,16380,197,383,31,-30,6,46,82078
1428,32,16548,128,-18,-111,-31,7,48,82114
1672,-80,16220,-17,-63,-112,-31,9,48,82149
1716,-88,16260,140,183,-259,-30,6,46,82184
1604,-104,16160,58,230,-318,-32,9,48,82220
1388,72,16236,10,105,-516,-32,9,47,82254
1380,76,16160,101,310,-256,-31,7,46,82290
1308,136,16268,34,133,-291,-32,8,47,82325
1516,348,16052,-156,124,-241,-30,8,47,82360
1512,308,16340,-194,531,-117,-31,8,48,82396
1272,-84,16776,-22,453,-77,-30,9,49,82430
1076,-96,16552,79,-105,-203,-34,8,46,82466
1324,96,16188,135,65,-69,-31,7,47,82501
1396,72,16312,-39,150,27,-33,9,49,82536
1408,92,16336,-23,-54,-100,-31,10,47,82572
1436,172,16428,81,117,60,-31,10,48,82607
1312,-40,16568,309,199,-21,-31,7,47,82641
1196,276,16568,256,-46,-159,-32,8,49,82677
1216,324,16440,185,-85,-29,-32,7,46,82712
1308,236,16304,225,77,-30,-32,8,46,82747
1160,528,16572,255,-127,-33,-31,9,48,82783
1340,344,16372,66,-316,294,-33,7,48,82818
1452,-260,16368,4,-240,216,-31,8,50,82853
1532,-76,16596,471,-234,28,-32,7,47,82888
1776,-120,16012,340,-304,184,-31,8,44,82923
1800,-40,15952,490,168,28,-30,8,48,82959
1640,264,16108,418,258,-82,-31,7,47,82994
1596,324,15912,-58,99,29,-33,7,49,83028
1280,236,16180,90,513,80,-32,8,48,83064
1332,260,16292,22,198,83,-32,7,50,83099
1508,400,16040,-190,391,75,-33,8,49,83135
1372,364,16408,-209,567,157,-32,9,49,83170
1512,316,16100,-296,235,23,-32,7,48,83205
1696,236,16044,-315,699,18,-32,9,48,83240
1556,-20,16496,-303,627,26,-29,7,49,83275
1340,-60,16580,-271,315,-309,-30,8,48,83311
1304,72,16496,-359,111,-374,-29,8,48,83346
1192,0,16292,-177,235,-308,-29,9,48,83381
944,148,16440,-172,-52,-330,-32,11,49,83417
1068,304,16340,-264,-133,-113,-31,6,48,83451
1092,208,16372,-33,-41,-38,-31,9,46,83487
1460,172,16484,-311,-520,-45,-31,6,50,83522
1464,96,16720,-113,-684,-147,-34,8,48,83557
1576,12,16444,202,-632,-339,-29,8,47,83593
1420,164,16324,80,-566,-334,-29,9,48,83628
1100,-64,16260,235,-767,-301,-31,7,49,83663
1456,-92,16016,-154,-729,-169,-29,8,47,83698
1468,-196,16016,-127,-399,-43,-30,8,49,83733
1532,-148,16236,-148,-239,22,-29,7,48,83769
1640,76,16280,-107,-447,111,-30,8,49,83804
1940,152,16244,-214,-239,-28,-29,7,48,83840
2020,148,16320,-256,-646,-130,-29,6,48,83874
2276,-52,16276,-337,-182,-225,-29,8,48,83910
2100,-20,16548,136,-158,-475,-31,6,48,83945
2072,-120,16540,-98,-331,-573,-30,7,48,83980
1920,-160,16296,149,-268,-693,-29,7,47,84016
1740,64,16208,170,-216,-561,-29,6,49,84050
1852,28,16168,-233,-470,-409,-30,8,48,84086
1912,-184,15944,-52,-24,-435,-30,8,48,84121
1840,-100,16076,-119,286,-305,-31,6,47,84157
1848,-136,16228,-224,244,-135,-29,6,48,84192
1816,-180,16384,-191,49,-219,-29,5,47,84227
2032,-52,16188,-88,166,-149,-29,7,49,84262
1960,-148,16500,39,349,-83,-32,7,47,84297
1796,-68,16224,86,153,-231,-31,8,47,84332
1736,-4,16160,49,204,-112,-28,7,49,84368
1896,-24,16048,-107,280,-38,-29,6,49,84403
1812,-236,16324,-130,232,-57,-29,7,48,84439
1768,-144,16380,119,34,-80,-30,4,47,84473
1944,-168,16268,112,186,-106,-30,8,49,84508
1776,-16,16284,133,203,-113,-30,7,47,84544
1872,-12,16204,136,32,-111,-29,7,49,84579
1840,-24,16244,176,266,14,-29,6,48,84615
1800,68,16144,82,35,-54,-28,6,48,84649
1840,-44,16208,119,240,60,-29,9,47,84684
1804,-44,16332,-7,115,-31,-28,7,48,84719
1880,-120,16344,112,205,-45,-30,8,49,84755
1796,-48,16436,-32,-116,-66,-29,6,48,84790
1916,-212,16076,297,266,-59,-32,7,49,84826
1740,-48,16336,45,-6,-131,-31,7,46,84860
1944,76,16072,90,-124,-134,-31,7,49,84895
1900,112,16224,149,372,-113,-28,8,48,84931
1708,-64,16344,61,141,-81,-29,6,49,84966
1712,-108,16252,53,19,-118,-30,9,48,85001
1816,-180,16208,135,178,-130,-31,8,48,85037
1656,12,16168,187,44,-201,-29,6,49,85071
1860,172,16100,-59,214,-50,-30,9,48,85107
1708,152,16432,-151,109,-91,-31,8,47,85142
1920,-64,16328,-87,133,-43,-30,7,50,85177
1752,-72,16476,182,372,-92,-28,8,47,85213
1692,-112,16332,142,-91,-167,-30,8,49,85248
1844,60,15964,33,83,-185,-30,7,48,85282
1672,112,16104,47,261,-123,-30,7,48,85318
1800,136,16148,-110,333,-143,-30,8,48,85353
1696,108,16300,-133,78,-53,-30,7,48,85389
1848,-56,16200,-1,462,-92,-31,8,48,85424
1696,32,16304,303,562,-139,-31,8,45,85458
1612,108,16100,211,574,-42,-30,9,48,85494
1584,152,16180,268,635,-54,-30,8,47,85529
1348,244,16280,38,637,76,-30,7,48,85564
1520,144,16244,-215,368,150,-31,8,47,85600
1668,-12,16268,-271,394,184,-31,9,48,85635
1576,112,16452,-3,466,231,-31,9,48,85670
1636,76,16340,-163,429,154,-31,8,46,85705
1852,-560,15940,132,1377,240,-32,8,48,85740
1496,-152,15872,331,1828,230,-29,10,48,85776
984,128,16220,74,1657,168,-28,11,47,85811
924,192,15940,-242,1843,371,-30,10,45,85847
916,8,16036,-479,2090,396,-30,12,48,85881
508,-116,16304,-299,2618,572,-30,12,46,85917
508,-76,16332,-116,2099,308,-27,13,47,85952
692,164,15900,66,3290,405,-31,13,43,85988
-128,128,17012,665,4069,990,-29,15,45,86023
-184,-372,16716,310,1908,118,-31,16,45,86057
-236,-64,16496,223,2203,284,-32,14,44,86093
-504,-312,16460,214,1684,385,-31,14,43,86128
-408,-112,16036,41,1985,-85,-30,16,43,86164
-852,176,16060,37,1725,67,-31,17,43,86199
-732,-108,15836,92,2640,270,-30,18,43,86235
-1324,148,16240,-5,2376,278,-31,20,44,86269
-1308,132,16412,-477,2011,381,-30,18,40,86305
-1084,-32,16280,-805,2064,268,-31,18,40,86340
-1332,-156,16340,-453,2630,273,-30,18,39,86376
-1780,-220,16736,-294,2331,119,-30,21,41,86411
-1744,-388,16324,-772,1587,-122,-31,20,40,86447
-1924,-452,15888,-459,2282,38,-30,19,37,86481
-2056,-608,15900,109,3216,116,-30,21,39,86517
-2540,-400,15840,17,2687,184,-31,22,38,86552
-2876,-340,15700,-1042,2142,264,-31,24,37,86588
-2752,-812,15164,-2245,2313,196,-30,24,35,86623
-3204,-1564,14304,-1966,-3987,1078,-30,24,37,86659
-3012,-2572,13224,2567,-5446,-227,-33,24,33,86694
-3924,-3124,14480,5601,-316,-5506,-34,25,33,86729
-1328,-332,16000,-2741,11803,-8494,-36,28,31,86765
-2368,-2052,15300,-4375,10071,-7515,-38,34,26,86801
-3312,-3156,15224,220,7772,-9757,-40,39,28,86836
-4668,-752,15740,4410,4247,-11727,-41,42,26,86872
-4704,164,17072,4883,-943,-13754,-43,45,28,86906
-4616,744,16992,350,593,-13602,-41,50,32,86942
-5488,396,15788,-997,3129,-13112,-37,53,32,86978
-3416,-116,16560,-1887,-2,-11609,-36,55,38,87013
-3800,-1696,13964,82,-2856,-9356,-34,56,41,87049
-3392,-2436,16268,4114,-9724,-5319,-31,54,46,87084
-4816,-1996,13620,8774,-9607,-2829,-36,52,49,87119
-5780,-1248,15696,12477,-5553,-4672,-33,52,54,87155
-3076,6368,25576,-10175,15003,-6275,-31,53,54,87191
-4200,-1424,11672,-12476,15411,-4930,-24,56,52,87226
-6872,-804,17128,-4156,6033,-1399,-22,60,53,87262
-6232,-1160,15988,-8204,8359,-1326,-22,62,51,87298
-4944,-1456,15804,-1569,2400,-39,-20,64,53,87332
-5204,-2600,13012,-3464,3727,1081,-21,67,53,87368
-7132,-3580,16668,-801,5858,2171,-20,68,54,87403
-7724,-5780,16664,392,85,-62,-19,71,57,87439
-4124,-4800,12976,213,5957,-3935,-20,73,56,87474
-9620,-5460,18188,-1611,8381,-6579,-15,78,55,87510
-5616,-2292,14716,110,-208,-3425,-13,76,54,87545
-7116,-3872,11540,-608,7385,-1556,-12,77,55,87580
-8452,-3248,12056,-1388,10075,-1802,-11,81,51,87616
-10228,-3224,11820,-827,16996,-394,-7,84,48,87652
-10156,-3080,15000,4109,-31,-2155,-7,83,50,87687
-8260,-3244,13112,7357,-10014,-1880,-4,79,56,87723
-9056,-3176,14376,7923,-8490,-2494,-5,76,63,87757
-9784,-6612,14312,4174,-3433,-3690,-5,76,71,87793
-7268,-1920,12992,5111,2024,-2884,-4,76,71,87829
-5756,-3444,14300,7128,-8348,-785,-4,70,78,87864
-7836,-824,15528,8900,8215,-671,-4,68,77,87900
-7860,-580,13924,8741,4600,-788,-6,66,78,87934
-7920,-804,14668,7708,5008,-4542,-5,63,79,87970
-7592,-420,13616,7561,4631,-5039,-1,60,80,88006
-9604,-512,16312,5522,3242,-6065,-3,59,81,88041
-10148,-468,15932,2053,-4017,-4266,0,57,82,88077
-8504,-420,13156,1917,-7289,-253,-1,53,87,88112
-7716,-424,14520,1781,-11797,-435,1,46,89,88147
-5948,-12,15132,2011,-7381,-324,-3,41,92,88182
-6432,-88,15568,-402,1384,-107,-2,44,95,88218
-7096,-72,15176,171,-218,-22,-3,43,94,88253
-6816,-148,14644,12,260,-97,0,43,94,88289
-6744,-60,14916,-9,113,-27,0,44,93,88324
-6876,-136,14912,56,129,-56,-1,45,91,88358
-6800,-144,14832,70,65,-41,-1,43,94,88394
-6888,-72,14948,83,1,-60,-3,44,93,88429
-6824,-68,14908,93,-97,-53,-3,42,95,88464
-6756,-20,14808,87,-56,-18,-1,45,97,88499
-6768,-12,14912,41,65,-54,-3,43,94,88535
-6708,-96,14852,116,60,-39,-1,43,94,88569
-6716,-56,14836,76,102,9,-3,43,94,88604
-6764,-52,14852,101,63,-14,-2,42,95,88640
-6796,-64,14912,174,-32,-15,-1,43,94,88675
-6820,-4,14988,217,-42,-21,-3,43,94,88710
-6720,-108,14920,181,-43,-11,0,43,93,88745
-6708,88,14808,128,56,-19,-1,41,92,88780
-6696,28,14784,59,100,17,-2,40,92,88815
-6780,44,14856,62,106,16,-1,43,93,88851
-6692,12,14832,68,129,0,-2,43,93,88886
-6748,80,15028,71,-81,17,1,42,96,88921
-6804,84,14856,40,-189,-64,-3,42,95,88956
-6656,12,14964,68,-233,-111,-4,43,98,88991
-6744,76,14872,-4,-220,-48,-1,43,95,89026
-6604,-32,14880,53,-74,-60,-2,40,94,89062
-6648,-12,14908,36,-57,-31,-1,41,95,89097
-6700,16,14968,77,88,-49,-3,40,94,89132
-6680,124,14964,-5,197,-44,-2,45,95,89167
-6588,56,14824,-61,244,-52,-3,41,93,89202
-6672,24,14944,-43,264,-82,-2,45,93,89237
-6716,-12,14924,-20,254,-71,-2,43,93,89273
-6732,48,14996,-37,173,-42,-1,42,94,89308
-6712,-32,14800,14,127,-42,-2,42,92,89342
-6732,32,14868,-1,140,-63,-1,43,93,89378
-6760,0,14724,4,71,-60,-1,43,95,89413
-6716,-40,14864,11,96,-71,-2,43,95,89448
-6772,-4,14900,40,81,-83,-2,43,93,89483
-6716,60,14888,28,54,-79,-2,41,92,89519
-6776,12,14840,46,7,-50,-1,42,95,89553
-6712,32,14860,45,39,-49,-2,42,93,89588
-6716,-36,14792,35,50,-35,-2,43,94,89624
-6760,4,14892,49,25,-61,-2,43,94,89659
-6716,28,14876,11,72,-64,-2,42,95,89694
-6688,28,14880,36,105,-44,-2,41,94,89729
-6720,28,14748,5,77,-34,-2,43,95,89764
-6740,40,14768,37,68,-15,-1,43,92,89799
-6784,36,14860,29,78,-41,-2,41,94,89834
-6736,-4,14952,20,55,-73,-3,42,94,89870
-6724,-28,14872,36,60,-85,-1,41,94,89905
-6768,28,14964,46,75,-36,-2,43,92,89939
-6668,40,14872,21,94,-87,-1,41,95,89974
-6708,24,14952,36,73,-57,-2,42,93,90010
-6748,44,14824,16,49,-39,-1,40,93,90045
-6708,36,14904,21,66,-56,-1,42,95,90080
-6784,-4,14888,10,46,-30,0,41,94,90116
-6728,52,14984,0,59,-56,1,44,94,90150
-6744,28,14864,10,93,-45,1,44,94,90185
-6772,-20,14932,9,103,-73,-2,43,93,90220
-6816,32,14888,10,69,-34,-1,42,93,90256
-6800,48,14836,26,76,-37,-1,42,94,90291
-6752,68,14860,35,78,-43,-2,42,94,90326
-6732,8,14872,29,111,-68,-2,41,97,90360
-6716,52,14864,16,73,-74,-2,42,94,90396
-6756,56,15036,35,100,-75,-2,43,94,90431
-6792,52,14896,57,55,-85,-2,42,94,90466
-6788,64,14900,59,58,-39,-1,43,94,90502
-6780,20,14972,45,61,-55,-4,44,95,90536
-6764,16,14848,30,62,-75,-2,42,93,90571
-6644,40,14788,30,48,-70,-3,41,95,90607
-6700,60,14900,28,40,-51,-3,41,95,90642
-6784,44,14836,29,27,-43,-5,42,93,90677
-6712,56,14860,18,54,-87,-3,44,95,90712
-6756,28,14912,13,110,-54,-4,43,94,90747
-6756,28,14848,9,81,-51,-1,41,93,90782
-6728,40,14876,-1,102,-80,-2,42,93,90817
-6752,68,14828,-15,70,-39,-3,42,94,90853
-6792,32,14812,-3,87,-63,-2,40,95,90888
-6720,28,14964,40,120,-93,-2,45,94,90923
-6708,32,14876,-12,55,-78,-2,40,95,90958
-6844,24,14920,8,108,-43,-4,41,95,90993
-6748,32,14844,-44,138,-29,-3,43,96,91028
-6752,-32,14844,15,165,-38,2,41,93,91064
-6792,0,14812,-1,183,-97,-3,42,93,91099
-6768,52,14800,16,138,-62,-2,44,95,91133
-6788,-8,14796,18,76,-72,-1,42,92,91168
-6736,-12,14908,13,73,-70,-2,43,92,91204
-6824,40,14876,8,83,-43,-1,43,95,91239
-6776,-16,14828,74,117,-64,-2,42,92,91274
-6748,0,14912,20,87,-80,-3,42,93,91310
-6772,72,14756,-1,92,-31,-2,42,94,91344
-6724,-8,14824,35,57,-40,-2,43,94,91379
-6776,52,14808,46,63,-74,-3,43,93,91414
-6796,28,14904,-9,10,-82,-2,42,93,91450
-6740,16,14860,15,30,-61,-3,41,93,91485
-6724,-8,14796,21,38,-66,-4,44,92,91520

